Nom de la commune,Population totale,Latitude,Longitude
Saint-Christophe-des-Bois,566,48.2262190,-1.2502891
Saint-Coulomb,2 993,48.6755188,-1.9114049
Saint-Didier,2 081,48.0950018,-1.3713111
Saint-Domineuc,2 600,48.3727602,-1.8760754
Saint-Erblon,3 542,48.0181129,-1.6513450
Saint-Ganton,430,47.7550260,-1.8845537
Saint-Georges-de-Gréhaigne,376,48.5683469,-1.5484882
Saint-Georges-de-Reintembault,1 531,48.5090243,-1.2430491
Saint-Germain-du-Pinel,1 007,48.0115522,-1.1662593
Saint-Germain-en-Coglès,2 118,48.4051522,-1.2641198
Saint-Germain-sur-Ille,1 020,48.2489955,-1.6594173
Saint-Gilles,5 473,48.1539357,-1.8299928
Saint-Gondran,616,48.2674317,-1.8352742
Saint-Gonlay,385,48.1133696,-2.0656230
Saint-Grégoire,10 206,48.1524129,-1.6853980
Saint-Guinoux,1 251,48.5751560,-1.8823420
Saint-Hilaire-des-Landes,1 051,48.3516396,-1.3570930
Saint-Jacques-de-la-Lande,13 782,48.0806436,-1.7135029
Saint-Jean-sur-Vilaine,1 394,48.1172885,-1.3604736
Saint-Jouan-des-Guérets,2 874,48.5991065,-1.9730216
Saint-Just,1 109,47.7653026,-1.9611620
Saint-Léger-des-Prés,306,48.3963826,-1.6528397
Saint-Lunaire,2 612,48.6354993,-2.1090269
Saint-M'Hervé,1 398,48.1784037,-1.1169757
Saint-Malo,48 609,48.6495180,-2.0260409
Saint-Malo-de-Phily,1 086,47.8767402,-1.7882282
Saint-Malon-sur-Mel,610,48.0933722,-2.0976082
Saint-Marc-le-Blanc,1 631,48.3772015,-1.4027566
Saint-Marcan,442,48.5882274,-1.6321115
Saint-Maugan,543,48.1346360,-2.0829661
Saint-Médard-sur-Ille,1 342,48.2730464,-1.6601833
Saint-Méen-le-Grand,4 759,48.1894709,-2.1911338
Saint-Méloir-des-Ondes,4 693,48.6380887,-1.9051339
Saint-Onen-la-Chapelle,1 138,48.1773634,-2.1732720
Saint-Ouen-des-Alleux,1 348,48.3281078,-1.4256954
Saint-Péran,422,48.0545538,-2.0564374
Saint-Père-Marc-en-Poulet,2 509,48.5881364,-1.9243628
Saint-Pern,1 057,48.2884779,-1.9870775
Saint-Rémy-du-Plain,823,48.3692905,-1.5714023
Saint-Sauveur-des-Landes,1 577,48.3430352,-1.3138696
Saint-Séglin,593,47.8536790,-2.0058134
Saint-Senoux,1 867,47.9049712,-1.7881315
Saint-Suliac,1 013,48.5699597,-1.9733807
Saint-Sulpice-des-Landes,846,47.7665513,-1.6226470
Saint-Sulpice-la-Forêt,1 539,48.2192441,-1.5791541
Saint-Symphorien,662,48.2913925,-1.8251627
Saint-Thual,1 000,48.3372930,-1.9332770
Saint-Thurial,2 194,48.0293427,-1.9312230
Saint-Uniac,531,48.1730402,-2.0288616
Sainte-Anne-sur-Vilaine,1 053,47.7308213,-1.8265906
Sainte-Colombe,370,47.8868719,-1.4552194
Sainte-Marie,2 331,47.6945161,-2.0005955
Saulnières,811,47.9154697,-1.5889099
Le Sel-de-Bretagne,1 134,47.8956742,-1.6116559
La Selle-en-Luitré,631,48.3104211,-1.1268962
La Selle-Guerchaise,163,47.9449058,-1.1745286
